property_type,sector,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category,price
flat,kondapur,2.0,2.0,1,11.0,West,New Property,1297.0,0.0,0.0,1.0,122.0,11.0,High Floor,1.98
flat,gachibowli,4.0,5.0,2,2.0,West,Moderately Old,3170.0,0.0,1.0,0.0,122.0,12.0,Low Floor,3.32
flat,banjara hills,3.0,4.0,1,1.0,East,Moderately Old,2900.0,0.0,1.0,1.0,140.0,27.0,Low Floor,3.92
flat,gachibowli,3.0,3.0,2,4.0,East,Moderately Old,1935.0,0.0,0.0,0.0,48.0,6.0,Mid Floor,2.0
flat,miyapur,2.0,2.0,1,1.0,North,Relatively New,1145.0,0.0,0.0,0.0,21.0,0.0,Low Floor,0.7
flat,kondapur,3.0,3.0,2,7.0,East,New Property,1885.0,0.0,0.0,0.0,140.0,41.0,Mid Floor,2.07
flat,sainikpuri,3.0,3.0,2,4.0,West,Moderately Old,1503.0,0.0,0.0,0.0,132.0,28.0,Mid Floor,0.92
flat,kompally,2.0,2.0,1,13.0,West,Relatively New,1290.0,0.0,0.0,0.0,58.0,8.0,High Floor,0.89
flat,kowkoor village,3.0,3.0,1,1.0,East,New Property,1960.0,0.0,0.0,1.0,30.0,0.0,Low Floor,1.0
flat,manikonda,2.0,2.0,2,5.0,West,Relatively New,1270.0,0.0,0.0,0.0,116.0,21.0,Mid Floor,0.95
flat,somajiguda,3.0,3.0,2,9.0,East,Old Property,3200.0,0.0,1.0,1.0,58.0,0.0,Mid Floor,3.65
flat,film nagar,3.0,3.0,2,2.0,Not Available,Old Property,2400.0,0.0,0.0,0.0,37.0,0.0,Low Floor,1.6
flat,red hills,3.0,2.0,2,3.0,South-East,Old Property,1400.0,0.0,0.0,0.0,94.0,30.0,Mid Floor,0.85
flat,kokapet,4.0,5.0,4,28.0,Not Available,Under Construction,2255.0,0.0,0.0,0.0,0.0,0.0,High Floor,4.22
flat,kukatpally,2.0,2.0,2,2.0,West,Moderately Old,1200.0,0.0,0.0,0.0,124.0,14.0,Low Floor,1.1
flat,turkayamjal,2.0,2.0,2,1.0,East,New Property,1200.0,0.0,0.0,0.0,58.0,0.0,Low Floor,0.55
flat,hi tech city,2.0,2.0,2,19.0,West,Relatively New,1050.0,0.0,0.0,1.0,178.0,35.0,High Floor,1.47
flat,gajulramaram,3.0,3.0,2,3.0,North,Relatively New,1950.0,0.0,0.0,0.0,55.0,19.0,Mid Floor,1.4
flat,chandanagar,2.0,2.0,1,3.0,West,Moderately Old,1140.0,0.0,0.0,0.0,58.0,15.0,Mid Floor,0.8
flat,kompally,2.0,2.0,2,11.0,East,Relatively New,1250.0,0.0,0.0,0.0,137.0,0.0,High Floor,0.9
flat,anand nagar colony,3.0,3.0,2,1.0,East,Under Construction,1795.0,0.0,0.0,1.0,37.0,0.0,Low Floor,1.89
flat,gagan mahal,3.0,3.0,2,4.0,Not Available,Relatively New,1500.0,0.0,0.0,0.0,0.0,1.0,Mid Floor,1.15
flat,saket,3.0,2.0,2,3.0,West,Moderately Old,1614.0,0.0,0.0,0.0,140.0,24.0,Mid Floor,1.2
flat,kokapet,3.0,3.0,2,5.0,East,New Property,1650.0,0.0,0.0,0.0,38.0,0.0,Mid Floor,1.3
flat,bachupally,3.0,2.0,1,4.0,North-East,Under Construction,1353.0,1.0,0.0,0.0,58.0,0.0,Mid Floor,0.8
flat,pocharam,2.0,2.0,1,3.0,East,New Property,1072.0,0.0,0.0,0.0,8.0,0.0,Mid Floor,0.48
flat,tellapur,3.0,3.0,4,9.0,East,Relatively New,2250.0,0.0,0.0,0.0,99.0,23.0,Mid Floor,1.69
flat,moti nagar,3.0,2.0,1,3.0,West,New Property,1583.0,0.0,0.0,0.0,115.0,0.0,Mid Floor,1.45
flat,madinaguda,3.0,3.0,1,12.0,East,Moderately Old,1440.0,0.0,0.0,1.0,177.0,20.0,High Floor,1.62
flat,banjara hills,3.0,2.0,1,4.0,South,Old Property,1740.0,0.0,1.0,0.0,82.0,11.0,Mid Floor,1.2
flat,tellapur,2.0,2.0,2,4.0,East,New Property,1200.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.72
flat,kompally,3.0,2.0,1,1.0,Not Available,New Property,1525.0,0.0,0.0,0.0,0.0,0.0,Low Floor,1.0
flat,kukatpally,2.0,2.0,2,13.0,West,Relatively New,1279.0,0.0,0.0,0.0,170.0,13.0,High Floor,1.45
flat,hayathnagar,3.0,3.0,1,4.0,East,Under Construction,1326.0,0.0,0.0,0.0,65.0,0.0,Mid Floor,0.68
